,Unnamed: 0,confidence,start_second,text,sentiment_score,key_phrases
0,0,0.8694921,0,here is an example of an online meeting with 2 teams want to discuss the new project to build a convention center on a piece of land,0.5,"[u'convention center', u'teams', u'new project', u'online meeting', u'piece of land']"
1,1,0.8601307,10000,owned by municipality the members of the number 1 the real estate developer or alexander in brazil,0.873992266855,"[u'real estate developer', u'number', u'alexander']"
2,2,0.6814226,100000,how do you like sender,0.5,[u'sender']
3,3,0.7991433,105000,why you are the team leader of the release date,0.5,"[u'release date', u'team leader']"
4,4,0.9479974,110000,release date,0.5,[u'release date']
5,5,0.3509248,115000,stena,0.5,[u'stena']
6,6,0.7903788,120000,hi christina how are you OK II wanted to check with you your team is ready,0.98917350458,"[u'christina', u'II', u'team']"
7,7,0.8087702,125000,I wanted to check with you your team is ready,0.955610189402,[u'team']
8,8,0.0,130000,,0.5,[u'NaN']
9,9,0.9185224,135000,your ready OK so what I'm going to do I'm going to bring everybody back OK,0.993349256734,[u'OK']
10,10,0.8652165,140000,remind me back OK,0.882763559346,[u'OK']
11,11,0.9408494,145000,will take it from there,0.5,[u'']
12,12,0.8585097,15000,the real estate developer or alexander in brazil connected with APC tom in india connected with a mac,0.978582117995,"[u'brazil', u'alexander', u'APC tom', u'india']"
13,13,0.9293665,150000,open OK thank you alright so let me bring everybody back,0.999542309969,[u'open OK']
14,14,0.9148041,155000,let me bring everybody back,0.5,[u'']
15,15,0.8724329,160000,OK so welcome everybody and eat you know that each of you belong to different,0.994882931332,[u'OK']
16,16,0.7597478,165000,and you know that you belong to a different team so christina iran rancho in the key,0.5,"[u'christina iran rancho', u'different team', u'key']"
17,17,0.7364162,170000,team so christina iran rancho and vicki are parts of the theme of the municipality,0.5,"[u'parts', u'vicki', u'christina iran rancho']"
18,18,0.6398454,175000,part of this team municipality,0.304391912909,[u'team municipality']
19,19,0.7943818,180000,in alexander and max are part of the team over real estate developer who would like to build a,0.5,"[u'team', u'real estate developer', u'max', u'alexander']"
20,20,0.8855618,185000,open real estate developer who would like to build a something on on that piece of land OK now just,0.904621335358,"[u'open real estate developer', u'piece of land OK']"
21,21,0.8606815,190000,dancing on on demand OK now just make sure that we're on the same page I'm going to share with you,0.925469204273,"[u'dancing', u'demand OK', u'page']"
