,confidence,start_second,text
0,0.8694921,0,here is an example of an online meeting with 2 teams want to discuss the new project to build a convention center on a piece of land
1,0.4045852,108000,oh really
2,0.7555319,117000,OK II want to do
3,0.7418361,126000,check with you your team is ready
4,0.9185224,135000,your ready OK so what I'm going to do I'm going to bring everybody back OK
5,0.7819704,144000,then then then we'll take it from there
6,0.9506565,153000,thank you alright so let me bring everybody back
7,0.8867629,162000,OK so welcome everybody and eat you know that each of you belong to a different team
8,0.6887062,171000,so christina iran rancho in the key are parts of the theme of the municipality
9,0.8332984,18000,alexander in brazil connected with APC tom in india connected with a mac and matt in the united states
10,0.7943818,180000,in alexander and max are part of the team over real estate developer who would like to build a
11,0.9060492,189000,hello something on on that piece of land OK now just make sure that we're on the same page I'm going to show
12,0.8975193,198000,I'm going to share with you video showing in abandoned airports OK so give me
13,0.9185957,207000,give me a second
14,0.932649,216000,so this is
15,0,225000,
16,0.8538831,234000,and this is a land is owned by the municipality that today is represented by christina's team
17,0.7608696,243000,teen OK
18,0.9494267,252000,stop this OK and let me show you something else
19,0.9181576,261000,let me show you that
20,0.8812543,27000,state connected with a mac the members of team members to the municipality of christina in united states with the PC
21,0.9314336,270000,the first sign of the convention center
22,0.8278356,279000,alexander alexander team would like to build OK so do you all say that
23,0.8864649,288000,image on your screen OK you can see is it is a pretty new modern
24,0.850637,297000,convention center with a lot of space also for for taking a nap
25,0.8645513,306000,taking a nap like this biebel yeah right OK so let me clear this let me stop this
26,0.8633067,315000,stop this OK so now that we know which projects were talking about I think it would be useful is
27,0.8503486,324000,is a give you a give each team will put unity to brainstorm some ideas ask are some funny questions
28,0.9373819,333000,OK so I'm going to create 2 separate rooms for each team and then I'm going to join each team
29,0.9343144,342000,steam ask you if you have any final questions hopefully you will not have any questions and then I'll bring your back together and then
30,0.9456573,351000,and then we will decide what is going to happen next OK so let me create some breakout rooms
31,0.8147334,36000,you see he ran in india with the PC rancho in the united states with it BC and vicki in france
32,0.9378752,360000,OK
33,0.7707898,369000,tom and then with iran christina rachel and vicki OK
34,0,378000,
35,0,387000,
36,0.6651668,396000,well I add a good news it seems that's it
37,0.7891321,405000,set up both your teams are ready
38,0.9127134,414000,suggest is that the next time is going to be at meeting in london in march
39,0.8665351,423000,finalize project OK
40,0.6094637,432000,details
41,0.8756706,441000,that's right OK so let me
42,0.9102488,45000,in france with an iphone and I have the host of that meeting I'm in the united states and I'm connected with mac first I'm going to
43,0.8526945,450000,you have a great day
44,0,459000,
45,0.9157248,468000,in agreement
46,0.9359002,477000,convention center
47,0.810661,486000,as you can see it's very simple agreement you have a great and christina
48,0.8940083,495000,christina and alexander will discuss
49,0.9078488,504000,can resolve any final issues before they are above me
50,0.8215155,513000,about meeting with this OK so I'm going to
51,0.8538058,522000,how to convert a document into a PDF file into going to send it to you by email with gay rights afif
52,0.8732954,531000,right I think will done and thank you very much so will see you all next month in london
53,0.8006248,54000,first I'm going to have a problem meeting with the team leader
54,0.3272237,540000,hey
55,0.7903684,63000,remind meeting at your present to the team of the municipality you on the pizza land
56,0.8212693,72000,will end up where there is an abandoned airports now second OK now
57,0.9047238,81000,I want just wanted to double check with you that you and your team are ready to discuss this project today your ready OK
58,0.8360603,9000,order pizza online and owned by municipality the members of the number 1 the real estate developer or alexander
59,0.8792177,90000,OK so let me bring and alexander in OK
60,0.6814226,99000,how do you like sender
