,confidence,start_second,text
0,0.8694921,0,here is an example of an online meeting with 2 teams want to discuss the new project to build a convention center on a piece of land
1,0.8601307,10000,owned by municipality the members of the number 1 the real estate developer or alexander in brazil
2,0.6814226,100000,how do you like sender
3,0.7991433,105000,why you are the team leader of the release date
4,0.9479974,110000,release date
5,0.3509248,115000,stena
6,0.7903788,120000,hi christina how are you OK II wanted to check with you your team is ready
7,0.8087702,125000,I wanted to check with you your team is ready
8,0,130000,
9,0.9185224,135000,your ready OK so what I'm going to do I'm going to bring everybody back OK
10,0.8652165,140000,remind me back OK
11,0.9408494,145000,will take it from there
12,0.8585097,15000,the real estate developer or alexander in brazil connected with APC tom in india connected with a mac
13,0.9293665,150000,open OK thank you alright so let me bring everybody back
14,0.9148041,155000,let me bring everybody back
15,0.8724329,160000,OK so welcome everybody and eat you know that each of you belong to different
16,0.7597478,165000,and you know that you belong to a different team so christina iran rancho in the key
17,0.7364162,170000,team so christina iran rancho and vicki are parts of the theme of the municipality
18,0.6398454,175000,part of this team municipality
19,0.7943818,180000,in alexander and max are part of the team over real estate developer who would like to build a
20,0.8855618,185000,open real estate developer who would like to build a something on on that piece of land OK now just
21,0.8606815,190000,dancing on on demand OK now just make sure that we're on the same page I'm going to share with you
22,0.8598312,195000,the same page I'm going to share with you and video showing in abandoned air
23,0.803286,20000,connected with APC tom in india connected with a mac and matt in the united states connected with a mac the men
24,0.81968,200000,video showing in abandoned airports OK so give me
25,0.9393992,205000,OK so give me a second
26,0.921465,210000,second
27,0,215000,
28,0.9034384,220000,so this is the airport talking about it is somewhere in the world
29,0,225000,
30,0.9053225,230000,and as you can see it's not that great shape and this is a land is owned by the municipality that
31,0.8657151,235000,land is owned by the municipality that today is represented by christina's team OK
32,0.8474653,240000,today is represented by christina's team OK
33,0.9374815,245000,you can see there is a lot of work to be done so let's stop this OK
34,0.8605074,25000,and matt in the united states connected with a mac the members of team members to the municipality on christina
35,0.9493399,250000,so let's stop this OK and let me show you something else
36,0.9352655,255000,and let me show you something else
37,0.9181576,260000,let me show you that
38,0.9015011,265000,show you then
39,0.9314336,270000,the first sign of the convention center
40,0.756205,275000,find all the convention center
41,0.8740751,280000,alexander team would like to build OK so do you all save image on screen
42,0.8129806,285000,please do you all see the image on your screen OK you can see is it is a pretty new
43,0.853365,290000,OK as you can see is it is a pretty new modern and convention center with
44,0.8770787,295000,modern and convention center with space also for
45,0.7801165,30000,verse of the number to the municipality of christina in united states with the PC he ran in india with
46,0.8723476,300000,hello to space also for for taking a nap like this people here
47,0.8510023,305000,will taking an act like this people yeah right OK so let me clear this
48,0.8546211,310000,alright OK so let me clear this let me stop this OK so now that we know which branch
49,0.8633067,315000,stop this OK so now that we know which projects were talking about I think it would be useful is
50,0.7950832,320000,we're talking about I think it would be useful if I give you a give each team deporte unity too
51,0.7929698,325000,I give you a give each team deprotonated to brainstorm some ideas ask you some questions OK
52,0.8472199,330000,bridgestone somebody's <profanity>ass</profanity> coz I'm final questions OK so I'm going to create 2 separate rooms for each team
53,0.918181,335000,so I'm going to create 2 separate rooms for each team and then I'm going to join each team ask you if you have any
54,0.9383692,340000,then I'm going to join each team ask you if you have any final questions hopefully you will not have any questions and then I'll bring your back
55,0.9199921,345000,funny questions hopefully you will not have any questions and then I'll bring your back together and then we will decide what is going to happen next
56,0.7952158,35000,united states with the PC he ran in india with the PC rancho in the united states with it BC and vicki
57,0.9446918,350000,and then we will decide what is going to happen next OK so let me create some breakout rooms
58,0.9283267,355000,so let me create some breakout rooms game
59,0.9378752,360000,OK
60,0.8062789,365000,alexander match tom and then with iran christina rachel
61,0.6846986,370000,and then with iran christina rachel and vicki OK
62,0.8023717,375000,enwiki OK
63,0,380000,
64,0,385000,
65,0,390000,
66,0.7324934,395000,well I add a good news it seems that
67,0.8588976,40000,rancho in the united states with it BC and vicki in france with an iphone and I have the host
68,0.8282356,400000,well I add a good news it seems that both your teams are ready
69,0.7891321,405000,set up both your teams are ready
